Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Buy Item,,Automate buy item until checkout,,2022-12-03 05:10:45,2022-12-03 05:12:47,2m - 2.480s,PASSED
,,,,,,,
Test Cases/Buy Item,,,,2022-12-03 05:10:45,2022-12-03 05:12:47,2m - 2.170s,PASSED
"startExistingApplication(""com.samsung.ecomm"", STOP_ON_FAILURE)",,,,2022-12-03 05:10:46,2022-12-03 05:10:57,11.579s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2022-12-03 05:10:57,2022-12-03 05:11:02,5.066s,PASSED
"swipe(700, 900, 50, 900)",,,,2022-12-03 05:11:02,2022-12-03 05:11:04,1.379s,PASSED
"tap(findTestObject(""MobileObject/getStarted.Button""), 10)",,,,2022-12-03 05:11:04,2022-12-03 05:11:05,1.690s,PASSED
"tap(findTestObject(""MobileObject/closeButton_Popup""), 10)",,,,2022-12-03 05:11:05,2022-12-03 05:11:09,3.229s,PASSED
"tap(findTestObject(""MobileObject/Shop_Button""), 10)",,,,2022-12-03 05:11:09,2022-12-03 05:11:10,1.175s,PASSED
"delay(30, STOP_ON_FAILURE)",,,,2022-12-03 05:11:10,2022-12-03 05:11:40,30.017s,PASSED
"tap(findTestObject(""MobileObject/ImagePhones""), 10)",,,,2022-12-03 05:11:40,2022-12-03 05:11:40,0.286s,PASSED
"tap(findTestObject(""MobileObject/ImageView - Galaxy Z""), 10)",,,,2022-12-03 05:11:40,2022-12-03 05:11:41,1.117s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2022-12-03 05:11:41,2022-12-03 05:11:44,3.007s,PASSED
"tapAtPosition(850, 550)",,Random position,,2022-12-03 05:11:44,2022-12-03 05:11:44,0.250s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2022-12-03 05:11:44,2022-12-03 05:11:47,3.007s,PASSED
"tap(findTestObject(""MobileObject/ImageView - Galaxy Z Fold4""), 10)",,,,2022-12-03 05:11:47,2022-12-03 05:11:48,0.363s,PASSED
"delay(10, STOP_ON_FAILURE)",,,,2022-12-03 05:11:48,2022-12-03 05:11:58,10.015s,PASSED
"tap(findTestObject(""MobileObject/TextView_BUY NOW""), 10)",,,,2022-12-03 05:11:58,2022-12-03 05:11:58,0.325s,PASSED
"delay(20, STOP_ON_FAILURE)",,,,2022-12-03 05:11:58,2022-12-03 05:12:18,20.003s,PASSED
"swipe(550, 1900, 550, 125)",,,,2022-12-03 05:12:18,2022-12-03 05:12:19,1.263s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2022-12-03 05:12:19,2022-12-03 05:12:22,3.016s,PASSED
"swipe(550, 1900, 550, 250)",,,,2022-12-03 05:12:22,2022-12-03 05:12:24,1.189s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2022-12-03 05:12:24,2022-12-03 05:12:29,5.013s,PASSED
"tap(findTestObject(""MobileObject/noTrade""), 10)",,,,2022-12-03 05:12:29,2022-12-03 05:12:30,1.572s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2022-12-03 05:12:30,2022-12-03 05:12:35,5.006s,PASSED
"tapAtPosition(830, 2130)",,Tap button Continue,,2022-12-03 05:12:35,2022-12-03 05:12:35,0.220s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2022-12-03 05:12:35,2022-12-03 05:12:40,5.016s,PASSED
"tapAtPosition(330, 2170)",,Tap button Skip add-ons,,2022-12-03 05:12:40,2022-12-03 05:12:41,0.219s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2022-12-03 05:12:41,2022-12-03 05:12:44,3.012s,PASSED
"tap(findTestObject(""MobileObject/TextView - CHECKOUT""), 10)",,,,2022-12-03 05:12:44,2022-12-03 05:12:44,0.325s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2022-12-03 05:12:44,2022-12-03 05:12:47,3.004s,PASSED
"verifyElementText(findTestObject(""MobileObject/verifyText - CHECKOUT""), ""CHECKOUT"")",,,,2022-12-03 05:12:47,2022-12-03 05:12:47,0.238s,PASSED
